the_geom,id,continent,country,city,iso_a3,name,h_type,cartodb_id,src_year,src_type,src_add,src_status,src_drawer,notes,h_special,h_vaccine,within_5km,optid,fib_dist,adm1_name
0101000020E6100000C45BA36C583E5640167BC2B640043A40,,Asia,Bangladesh,,BGD,JALDHAKA,Health Center,60291,25,22,22,22,119,,,,FALSE,60291,,Rajshahi
0101000020E6100000407873B9C9415640CDBC96C27EDF3940,,Asia,Bangladesh,,BGD,Kishoreganj,Health Center,60299,25,22,22,22,119,,,,FALSE,60299,,Rajshahi
0101000020E6100000D1A82ADAB531564069D369FC20F43940,,Asia,Bangladesh,,BGD,Nilphamari Sadar,Health Center,60329,25,22,22,22,119,,,,FALSE,60329,,Rajshahi
0101000020E6100000781DE1C09B325640FDF0C93EAF0A3A40,,Asia,Bangladesh,,BGD,Nilphamari Sadar,Health Center,60331,25,22,22,22,119,,,,FALSE,60331,,Rajshahi
0101000020E6100000828173AEB6E956408066C843741B3940,,Asia,Bangladesh,,BGD,Doarabazar,Health Center,60737,25,22,22,22,119,,,,FALSE,60737,,Sylhet
0101000020E61000003B7BABAA9FE6564018F79031781E3940,,Asia,Bangladesh,,BGD,Doarabazar,Health Center,60739,25,22,22,22,119,,,,FALSE,60739,,Sylhet
0101000020E6100000F521CC0D80E25640316E3F59B41D3940,,Asia,Bangladesh,,BGD,Doarabazar,Health Center,60741,25,22,22,22,119,,,,FALSE,60741,,Sylhet
0101000020E6100000E29BCC6C4E95564018DC90B87E063940,,Asia,Bangladesh,,BGD,Haluaght,Health Center,58681,25,22,22,22,119,,,,TRUE,58681,,Mymensignh
0101000020E610000049336F5E34945640AA0581912F0C3940,,Asia,Bangladesh,,BGD,Haluaght,Health Center,58683,25,22,22,22,119,,,,TRUE,58683,,Mymensignh
0101000020E6100000034F492E9D5456409EA05BEED5F73640,,Asia,Bangladesh,,BGD,MONIRAMPUR,Health Center,59498,25,22,22,22,119,,,,TRUE,59498,,Khulna
