the_geom,cleanup,type,country,iso_a3,pop_max,pop_min,name,continent,date_add,cartodb_id,mapper,population,src_geo,src_pop,pop_src_yr,within_5km,region,adm1_name,fib_dist,pop_perc
0101000020E6100000C986DADBD2FD59400E1BB98F58803640,2018-08-08,Provincial Capital,Vietnam,VNM,67206,36502,Lao Chi,Asia,2018-08-08,2278,HIP-JM,36502,1,1,2014,true,x,Lào Cai,0.03,0.039800116231778800
0101000020E610000045B2C4E349A943C09C7AD81CE89F2CC0,2018-08-08,Populated place,Brazil,BRA,28375,26448,Ubaitaba,Latin America,2018-08-08,1541,HIP-JM,26448,1,1,2014,true,x,Bahia,0.37,0.014149568482298400
0101000020E6100000C8A78DC58DB445C0A193FB9A70802AC0,2018-08-08,Populated place,Brazil,BRA,40691,40691,Bom Jesus da Lapa,Latin America,2018-08-08,4243,HIP-JM,40691,1,1,2014,true,x,Bahia,1.56,0.021769513426845400
0101000020E61000008553AA50C71946C0DB5D6163C3C72AC0,2018-08-08,Populated place,Brazil,BRA,23488,2864,Santa Maria da Vitoria,Latin America,2018-08-08,6015,HIP-JM,2864,1,1,2014,true,x,Bahia,0.46,0.0015322279239754500
0101000020E610000060125763C3D544C0734E7B7FE8672CC0,2018-08-08,Populated place,Brazil,BRA,41989,16611,Brumado,Latin America,2018-08-08,1538,HIP-JM,16611,1,1,2014,true,x,Bahia,0.08,0.0088868149599009200
0101000020E6100000E1A7AB1A08D73E4099CBCCEF854E3D40,2018-08-08,Provincial Capital,Egypt,EGY,316772,306393,El Faiyum,Africa,2018-08-08,6476,HIP-JM,306393,1,1,2014,true,x,Al Fayyum,2.06,0.32019774627262300
0101000020E610000030C74D68ED435640B3B9D683EEC53740,2018-07-31,Populated place,Bangladesh,BGD,0,0,Jhaudia,Asia,2018-07-31,7764,HIP-JM,0,43,,,true,x,Khulna,3.33,0
0101000020E61000006949F77106AC2640FE46DE13743A0140,2018-08-08,Provincial Capital,Gabon,GAB,24831,24831,Ebebiyin,Africa,2018-08-08,347,HIP-JM,24831,1,1,2014,true,x,Wouleu-Ntem,,1.5138915138915100
0101000020E6100000D3F4EA2D2F955A40886597FB26F13440,2018-08-08,Provincial Capital,Vietnam,VNM,58030,58030,Hai Duong,Asia,2018-08-08,26,HIP-JM,58030,1,1,2014,true,x,Hải Dương,0.96,0.063273265709553600
0101000020E6100000BB2D58AA0B624140D9C80AB8C6B938C0,2018-08-08,Populated place,Mozambique,MOZ,1210,1210,Quissico,Africa,2018-08-08,2807,HIP-JM,1210,1,1,2014,true,x,Inhambane,2.17,0.0049955813876197500
0101000020E61000009AEE24DBE1172B409D2F3FDE8AB328C0,2018-08-08,Populated place,Angola,AGO,207932,133534,Lobito,Africa,2018-08-08,6098,HIP-JM,133534,1,1,2014,true,x,Benguela,1.88,0.8122049587967200
0101000020E6100000517D571B367F2C40F052A38A40132AC0,2018-08-08,Populated place,Angola,AGO,4837,4837,Cubal,Africa,2018-08-08,4502,HIP-JM,4837,1,1,2014,true,x,Benguela,0.73,0.029420487558971700
0101000020E610000009A9AA1B87D82C40337CA9C87E5F23C0,2018-08-08,Populated place,Angola,AGO,2353,2353,Dondo,Africa,2018-08-08,6094,HIP-JM,2353,1,1,2014,true,x,Cuanza Norte,0.01,0.014311847679607300
0101000020E61000003FBD851A2ADC3340579FBCD930662BC0,2018-08-08,Populated place,Angola,AGO,1307,1307,Cangamba,Africa,2018-08-08,4512,HIP-JM,1307,1,1,2014,false,x,Moxico,195.52,0.0079496748479586700
0101000020E61000009994F8FDF2F62D4079F65ABCE97625C0,2018-08-08,Populated place,Angola,AGO,8915,1582,Quibala,Africa,2018-08-08,4492,HIP-JM,1582,1,1,2014,true,x,Cuanza Sul,0.22,0.0096223302291282400
0101000020E6100000D3549FF937B74DC061D5E6185C5341C0,2018-08-08,Populated place,Argentina,ARG,52949,43868,Mercedes,Latin America,2018-08-08,1650,HIP-JM,43868,1,1,2014,true,x,Buenos Aires,1.94,0.10103698336383700
0101000020E6100000083939201E224FC0B26F7C70FC5B43C0,2018-08-08,Populated place,Argentina,ARG,281536,276546,Bahia Blanca,Latin America,2018-08-08,7026,HIP-JM,276546,1,1,2014,true,x,Buenos Aires,0.21,0.63694204434521200
0101000020E610000060F889E6A75E4DC04244F984044743C0,2018-08-08,Populated place,Argentina,ARG,80478,60646,Necochea,Latin America,2018-08-08,6078,HIP-JM,60646,1,1,2014,true,x,Buenos Aires,3.43,0.13968015166142200
0101000020E610000065D0D6233F234EC04634B2AD4E3043C0,2018-08-08,Populated place,Argentina,ARG,47136,22411,Tres Arroyos,Latin America,2018-08-08,1657,HIP-JM,22411,1,1,2014,true,x,Buenos Aires,1.22,0.051617120319297900
0101000020E6100000FEF4CCF0768C4DC006712FF5D79741C0,2018-08-08,Populated place,Argentina,ARG,18278,18278,Lobos,Latin America,2018-08-08,4382,HIP-JM,18278,1,1,2014,true,x,Buenos Aires,0.26,0.042097975333368700
0101000020E6100000C7CE5CC338144EC0936922908A4F40C0,2018-08-08,Populated place,Argentina,ARG,25139,14926,Victoria,Latin America,2018-08-08,1692,HIP-JM,14926,1,1,2014,true,x,Entre Ríos,1.30,0.034377633210737600
0101000020E6100000F417AEC4E1A74DC0DC1BD2AE219340C0,2018-08-08,Populated place,Argentina,ARG,33120,18706,Gualeguay,Latin America,2018-08-08,1693,HIP-JM,18706,1,1,2014,true,x,Entre Ríos,0.74,0.043083746940912300
0101000020E6100000DA8ED1253C024DC09E021D1FBA653FC0,2018-08-08,Populated place,Argentina,ARG,145210,120311,Concordia,Latin America,2018-08-08,4413,HIP-JM,120311,1,1,2014,true,x,Entre Ríos,2.52,0.27710085952144200
0101000020E610000027DE84BFC91D4DC0DC78863C223E40C0,2018-08-08,Populated place,Argentina,ARG,67895,28655,Concepcion del Uruguay,Latin America,2018-08-08,1691,HIP-JM,28655,1,1,2014,false,x,Entre Ríos,6.70,0.065998330406919800
0101000020E61000002EBDEBF05A2A4EC0C6F450F52B9D40C0,2018-08-08,Populated place,Argentina,ARG,44271,16294,Villa Constitucion,Latin America,2018-08-08,1695,HIP-JM,16294,1,1,2014,false,x,Entre Ríos,7.88,0.037528417227372300
0101000020E6100000D3610DCCE157F1BFFCC98792BD2B2A40,2018-08-08,Provincial Capital,Burkina Faso,BFA,40017,39229,Kaya,Africa,2018-08-08,4742,HIP-JM,39229,1,1,2014,false,x,Sanmatenga,60.64,0.29227540301581100
0101000020E61000004AE920F1F72E3F408860F6BA6F773E40,2018-08-08,Provincial Capital,Egypt,EGY,167029,167029,Benha,Africa,2018-08-08,297,HIP-JM,167029,1,1,2014,true,x,Al Qalyubiyah,0.31,0.17455460588907100
0101000020E6100000EC0C9DE804735640D3AF1985C9A73640,2018-07-31,Populated place,Bangladesh,BGD,0,0,Bagerhat,Asia,2018-07-31,7647,HIP-JM,257273,43,27,2001,true,x,Khulna,0.23,0.15788311569401400
0101000020E61000006A58644F9C4CFCBFE39608901C1B2740,2018-08-08,Provincial Capital,Burkina Faso,BFA,3837,3837,Sapouy,Africa,2018-08-08,488,HIP-JM,3837,1,1,2014,false,x,Ziro,59.73,0.028587542924154700
0101000020E6100000D5C5F76AECFFFBBF29C6D88D67E64A40,2018-08-08,Populated place,United Kingdom,GBR,501700,293717,Bradford,Europe,2018-08-08,909,HIP-JM,293717,1,1,2014,false,x,Bradford,,0.46795285978405800
0101000020E610000068B63C201A065340B57C5ED0C6874E40,2018-08-08,Populated place,Russia,RUS,48691,46610,Megion,Asia,2018-08-08,2972,HIP-JM,46610,1,1,2014,false,x,Khanty-Mansiy,,0.031794743992520900
0101000020E6100000682907509F9F5240BC48FD2FB6054F40,2018-08-08,Populated place,Russia,RUS,58192,58192,Kogalym,Asia,2018-08-08,2971,HIP-JM,58192,1,1,2014,false,x,Khanty-Mansiy,,0.039695338820269800
0101000020E6100000BA8F2772161054404ABDEAD8F38C4E40,2018-08-08,Populated place,Russia,RUS,10,10,Laryak,Asia,2018-08-08,2970,HIP-JM,10,1,1,2014,false,x,Khanty-Mansiy,,0.0000068214426072776100
0101000020E6100000D10DB14DEC8F484079E7C4DC3DE04B40,2018-08-08,Provincial Capital,Russia,RUS,1115000,912270,Kazan,Asia,2018-08-08,6852,HIP-JM,912270,1,1,2014,false,x,Tatarstan,,0.62229974473411400
0101000020E61000007581B310F4284A40BDC06B7E99D94B40,2018-08-08,Populated place,Russia,RUS,461086,461086,Naberezhnyye Chelny,Asia,2018-08-08,1079,HIP-JM,461086,1,1,2014,false,x,Tatarstan,,0.3145271686019200
0101000020E61000008E43FE78335B524004DC6FC445A14E40,2018-08-08,Populated place,Russia,RUS,400000,306703,Surgut,Asia,2018-08-08,6853,HIP-JM,306703,1,1,2014,false,x,Khanty-Mansiy,,0.20921569119798600
0101000020E6100000691BCF9FEA511AC030E30A7B9C224140,2018-08-08,Populated place,Morocco,MAR,551786,366570,Kenitra,Africa,2018-08-08,2787,HIP-JM,366570,1,1,2014,true,x,Gharb - Chrarda - Béni Hssen,0.90,1.0532615248624800
0101000020E61000007CF81AFE2AD1514043F8ACA5DF764B40,2018-08-08,Populated place,Russia,RUS,21136,21136,Isikul,Asia,2018-08-08,2976,HIP-JM,21136,1,1,2014,true,x,Omsk,,0.014417801094741900
0101000020E61000000C903ECCAF4716C0DAC41C46B9674140,2018-08-08,Populated place,Morocco,MAR,69658,58684,Ouezzane,Africa,2018-08-08,2786,HIP-JM,58684,1,1,2014,true,x,Gharb - Chrarda - Béni Hssen,0.41,0.16861608785506200
0101000020E6100000DDC95D3A1CFC5640C5DC7C23BAB13840,2018-07-31,Populated place,Bangladesh,BGD,0,0,Fenchuganj,Asia,2018-07-31,7655,HIP-JM,95161,43,27,2001,true,x,Sylhet,0.56,0.058398336290858500
0101000020E61000003FE32E675BEA564046672783A3083940,2018-07-31,Populated place,Bangladesh,BGD,0,0,Chhatak Bazaar,Asia,2018-07-31,7658,HIP-JM,334546,43,27,2001,true,x,Sylhet,0.02,0.20530395658685300
0101000020E6100000A6240F8A62F74EC0EBECD405F4BA42C0,2018-08-08,Populated place,Argentina,ARG,27000,14426,Coronel Suarez,Latin America,2018-08-08,1658,HIP-JM,14426,1,1,2014,true,x,Buenos Aires,1.23,0.033226030865476400
0101000020E6100000E926D64E39C44EC0AD99E74ED13D3040,2018-08-08,Populated place,France,FRA,145511,18264,Pointe-a-Pitre,Europe,2018-08-08,4154,HIP-JM,18264,1,1,2014,true,x,Guadeloupe,,0.027302036356105600
0101000020E6100000A3D2BA33269E38406CDF53CD62B44540,2018-08-08,Provincial Capital,Bulgaria,BGR,118675,102216,Pleven,Europe,2018-08-08,4572,HIP-JM,102216,1,1,2014,false,x,Pleven,,1.4340425448334700
0101000020E6100000D352228ABECA3540ED70BEB441BE4E40,2018-08-08,Populated place,Finland,FIN,76772,66280,Pori,Europe,2018-08-08,1414,HIP-JM,66280,1,1,2014,false,x,Satakunta,,1.2095925727950100
0101000020E610000090D6423D7BB452408788CD8D8A144B40,2018-08-08,Populated place,Russia,RUS,12122,1999,Cherlak,Asia,2018-08-08,2973,HIP-JM,1999,1,1,2014,false,x,Omsk,,0.0013636063771947900
0101000020E6100000D1437E475EA45240072C78B83A864B40,2018-08-08,Populated place,Russia,RUS,24059,16954,Kalachinsk,Asia,2018-08-08,2974,HIP-JM,16954,1,1,2014,false,x,Omsk,,0.011565073796378500
0101000020E61000005F8054F578595240CD30D6B3F77E4B40,2018-08-08,Provincial Capital,Russia,RUS,1135000,1043403,Omsk,Asia,2018-08-08,6353,HIP-JM,1043403,1,1,2014,false,x,Omsk,,0.71175136807612700
0101000020E61000000F9F0116359852403BD023A9F9724C40,2018-08-08,Populated place,Russia,RUS,26986,21275,Tara,Asia,2018-08-08,5025,HIP-JM,21275,1,1,2014,false,x,Omsk,,0.014512619146983100
0101000020E61000004C3E3BDC79D2F8BFD93B0622E09B4740,2018-08-08,Regional Capital,France,FRA,438537,277269,Nantes,Europe,2018-08-08,3888,HIP-JM,277269,1,1,2014,false,x,Loire-Atlantique,,0.41447702137653500
